phase,status,reason,disabled_count,loaded_mods,block_atlas,emi_reload_ms,rss_mib,anonymous_mib,hist_total_mib,heap_total_mib,heap_used_mib,metaspace_used_mib,byte_arrays_mib,int_arrays_mib,baked_quads_mib,emi_item_stacks_mib,item_stacks_mib,max_client_mib,joined_at_sec,run_dir
reduced_no_rustic_delight,PASS,client_joined_server,10,,16384x16384x4,8607,11018.3,10872.4,3177.2,6028.0,4451.3,,684.4,360.1,170.4,92.6,56.7,10485.6,51,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/23_reduced_no_rustic_delight/client_join_probe/20260506-105915
reduced_no_diet,PASS,client_joined_server,10,,16384x16384x4,8799,10462.7,10320.9,3187.4,5720.0,4641.4,,684.3,362.4,171.5,93.1,57.3,8463.7,48,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/24_reduced_no_diet/client_join_probe/20260506-110205
reduced_no_solcarrot,PASS,client_joined_server,10,,16384x16384x4,8511,10849.9,10707.9,3278.1,6012.0,3935.8,,745.8,362.3,171.5,93.2,57.3,10389.4,48,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/25_reduced_no_solcarrot/client_join_probe/20260506-110450
reduced_no_thirst,PASS,client_joined_server,10,,16384x16384x4,9042,9579.4,9433.6,3276.3,4860.0,4244.4,,745.0,362.5,171.5,93.2,57.3,9057.1,47,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/26_reduced_no_thirst/client_join_probe/20260506-110736
reduced_no_appleskin,PASS,client_joined_server,10,,16384x16384x4,9564,11697.7,11555.8,3192.7,6864.0,5115.1,,685.4,362.6,171.5,93.2,57.3,8912.8,52,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/27_reduced_no_appleskin/client_join_probe/20260506-111023
reduced_no_cravings,PASS,client_joined_server,10,,16384x16384x4,8587,10498.1,10356.2,3182.1,6152.0,4166.7,,681.7,362.0,171.3,93.1,57.0,8230.3,49,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/28_reduced_no_cravings/client_join_probe/20260506-111313
reduced_no_acid_vat,PASS,client_joined_server,10,,16384x16384x4,9151,11682.0,11536.2,3187.7,6828.0,5618.2,,684.3,362.4,171.4,93.2,57.2,9068.1,48,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/29_reduced_no_acid_vat/client_join_probe/20260506-111602
reduced_no_btmfixes,PASS,client_joined_server,10,,16384x16384x4,9145,10407.0,10265.3,3187.9,5668.0,4844.6,,684.3,362.8,171.5,93.2,57.2,8118.8,53,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/30_reduced_no_btmfixes/client_join_probe/20260506-111848
reduced_no_classselector,PASS,client_joined_server,10,,16384x16384x4,9981,11648.4,11506.6,3181.8,6808.0,5438.1,,684.6,362.6,171.5,93.2,57.2,8935.6,52,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/31_reduced_no_classselector/client_join_probe/20260506-112142
reduced_no_computerbridge,PASS,client_joined_server,10,,16384x16384x4,9131,9932.8,9790.9,3190.0,5176.0,4133.6,,684.9,362.6,171.5,93.2,57.3,8890.5,51,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/32_reduced_no_computerbridge/client_join_probe/20260506-112434
reduced_no_transmissionloss,PASS,client_joined_server,10,,16384x16384x4,9750,11454.6,11308.6,3189.2,6588.0,4353.4,,685.0,362.6,171.5,93.2,57.2,8872.2,55,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/33_reduced_no_transmissionloss/client_join_probe/20260506-112728
reduced_no_cursedbiomes,PASS,client_joined_server,10,,16384x16384x4,9239,11070.1,10924.3,3277.7,6140.0,3918.0,,745.5,362.6,171.5,93.2,57.2,10572.9,51,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/34_reduced_no_cursedbiomes/client_join_probe/20260506-113023
reduced_no_fission_reactor,PASS,client_joined_server,10,,16384x16384x4,9014,10458.8,10310.9,3190.8,6152.0,4143.4,,685.2,362.6,171.5,93.2,57.2,8231.5,54,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/35_reduced_no_fission_reactor/client_join_probe/20260506-113313
reduced_no_gases_and_plasmas,PASS,client_joined_server,10,,16384x16384x4,9428,9855.7,9712.1,3275.4,4916.0,4405.0,,745.6,362.6,171.5,92.7,56.2,9082.1,50,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/36_reduced_no_gases_and_plasmas/client_join_probe/20260506-113606
reduced_no_heatsync,PASS,client_joined_server,10,,16384x16384x4,9548,11584.0,11440.0,3189.2,6800.0,4831.7,,684.9,362.6,171.5,93.2,57.2,8798.2,52,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/37_reduced_no_heatsync/client_join_probe/20260506-113856
reduced_no_liquid_coolant,FAIL,server_fail,10,,,,,,,,,,,,,,,,,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/38_reduced_no_liquid_coolant
reduced_no_obelisks,PASS,client_joined_server,10,,16384x16384x4,9593,9860.9,9715.1,3280.9,5060.0,4219.1,,746.4,362.6,171.5,93.2,57.3,9421.7,54,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/39_reduced_no_obelisks/client_join_probe/20260506-114204
reduced_no_pillagercampaigns,PASS,client_joined_server,10,,16384x16384x4,9795,12747.1,12601.2,3190.3,7916.0,6594.3,,684.9,362.6,171.5,93.2,57.2,8686.2,53,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/40_reduced_no_pillagercampaigns/client_join_probe/20260506-114458
reduced_no_procedural_bouquets,PASS,client_joined_server,10,,16384x16384x4,10248,11212.6,11070.8,3192.2,6660.0,5732.2,,685.2,362.6,171.5,93.1,57.1,8760.5,54,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/41_reduced_no_procedural_bouquets/client_join_probe/20260506-114751
reduced_no_realisticores,PASS,client_joined_server,10,,16384x16384x4,9081,11054.8,10906.9,3250.6,6156.0,5410.6,,682.4,404.2,171.0,91.9,56.4,9175.2,51,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/42_reduced_no_realisticores/client_join_probe/20260506-115042
reduced_no_rpgstats,PASS,client_joined_server,10,,16384x16384x4,9203,11958.2,11816.3,3243.7,7028.0,4075.8,,686.0,404.6,171.3,92.0,56.9,9029.7,48,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/43_reduced_no_rpgstats/client_join_probe/20260506-115329
reduced_no_settlementroads,PASS,client_joined_server,10,,16384x16384x4,8610,9580.3,9438.6,3326.4,4828.0,4210.7,,745.8,405.2,171.5,92.0,57.0,9105.5,47,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/44_reduced_no_settlementroads/client_join_probe/20260506-115613
reduced_no_villagewalls,PASS,client_joined_server,10,,16384x16384x4,9288,11579.2,11437.4,3244.1,6748.0,4379.5,,685.5,405.2,171.5,92.0,57.0,8981.9,50,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/45_reduced_no_villagewalls/client_join_probe/20260506-115902
reduced_no_compressedcreativity,PASS,client_joined_server,10,,16384x16384x4,9195,11697.6,11551.7,3241.9,6840.0,5697.4,,683.7,401.1,169.8,91.9,56.9,9023.1,49,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/46_reduced_no_compressedcreativity/client_join_probe/20260506-120150
reduced_no_create_new_age,FAIL,server_fail,12,,,,,,,,,,,,,,,,,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/47_reduced_no_create_new_age
reduced_no_create_stuff_additions,PASS,client_joined_server,10,,16384x16384x4,8620,10100.2,9954.4,3233.4,5216.0,4185.5,,684.0,403.0,170.8,91.7,56.8,9627.8,49,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/48_reduced_no_create_stuff_additions/client_join_probe/20260506-120441
reduced_no_create_bb,PASS,client_joined_server,10,,16384x16384x4,8936,10828.0,10686.1,3225.7,5976.0,4561.5,,684.3,397.6,169.6,92.0,57.0,8862.7,48,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/49_reduced_no_create_bb/client_join_probe/20260506-120728
reduced_no_create_central_kitchen,PASS,client_joined_server,10,,16384x16384x4,9278,11141.1,10999.2,3246.5,6628.0,5611.1,,684.5,404.6,171.3,89.5,56.9,8675.0,49,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/50_reduced_no_create_central_kitchen/client_join_probe/20260506-121013
reduced_no_create_cold_sweat,PASS,client_joined_server,10,,16384x16384x4,9542,12185.3,12043.5,3184.4,7508.0,4696.0,,685.0,361.9,171.5,92.0,56.9,8726.4,49,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/51_reduced_no_create_cold_sweat/client_join_probe/20260506-121300
reduced_no_create_connected,PASS,client_joined_server,10,,16384x16384x4,8763,10681.2,10535.3,3171.8,5868.0,4265.4,,682.0,361.1,170.9,91.9,57.0,8547.8,49,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/52_reduced_no_create_connected/client_join_probe/20260506-121547
reduced_no_create_enchantment_industry,PASS,client_joined_server,10,,16384x16384x4,8687,9569.4,9423.7,3272.2,4760.0,4176.4,,745.4,361.8,171.5,92.0,56.9,8946.7,49,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/53_reduced_no_create_enchantment_industry/client_join_probe/20260506-121833
reduced_no_create_more_additions,PASS,client_joined_server,10,,16384x16384x4,9653,11896.5,11750.6,3252.1,7000.0,4604.2,,685.7,404.6,171.2,91.7,56.8,9051.2,50,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/54_reduced_no_create_more_additions/client_join_probe/20260506-122120
reduced_no_create_power_loader,PASS,client_joined_server,10,,16384x16384x4,8953,9862.2,9716.3,3313.2,4968.0,4288.7,,746.6,391.2,171.5,92.0,57.0,8964.8,51,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/55_reduced_no_create_power_loader/client_join_probe/20260506-122408
reduced_no_create_things_and_misc,PASS,client_joined_server,10,,16384x16384x4,8955,9947.3,9805.5,3298.4,5056.0,4131.8,,744.8,390.2,171.1,91.6,56.8,9484.0,50,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/56_reduced_no_create_things_and_misc/client_join_probe/20260506-122658
reduced_no_create_additional_logistics,PASS,client_joined_server,10,,16384x16384x4,8892,10207.9,10064.1,3289.5,5456.0,4467.3,,742.9,390.8,171.1,91.4,56.7,9784.6,50,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/57_reduced_no_create_additional_logistics/client_join_probe/20260506-122947
reduced_no_create_addon_compatibility,PASS,client_joined_server,10,,16384x16384x4,10202,11603.5,11457.7,3216.1,6736.0,4547.3,,684.9,391.2,171.5,92.0,56.9,8816.7,54,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/58_reduced_no_create_addon_compatibility/client_join_probe/20260506-123234
reduced_no_create_adv_logistics,PASS,client_joined_server,10,,16384x16384x4,8815,11700.9,11554.9,3183.7,6720.0,5372.9,,684.9,361.2,171.5,92.0,57.0,8935.8,53,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/59_reduced_no_create_adv_logistics/client_join_probe/20260506-123527
reduced_no_create_applied_kinetics,FAIL,server_crash_report_created,10,,16384x16384x4,8815,,,,,,,,,,,,0.0,,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/60_reduced_no_create_applied_kinetics/client_join_probe/20260506-123818
reduced_no_create_big_cannons,PASS,client_joined_server,10,,16384x16384x4,9558,11268.7,11122.9,3178.5,6408.0,4680.0,,680.8,373.4,170.0,90.7,56.2,8745.2,50,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/61_reduced_no_create_big_cannons/client_join_probe/20260506-123909
reduced_no_create_diesel_generators,PASS,client_joined_server,10,,16384x16384x4,9418,9971.2,9829.4,3285.4,4996.0,4269.9,,745.1,387.7,170.5,91.5,53.9,9064.2,50,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/62_reduced_no_create_diesel_generators/client_join_probe/20260506-124157
reduced_no_create_liquid_fuel,PASS,client_joined_server,10,,16384x16384x4,8937,9834.1,9688.3,3309.3,4892.0,4277.4,,746.0,391.2,171.5,92.0,57.1,9142.6,51,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/63_reduced_no_create_liquid_fuel/client_join_probe/20260506-124446
reduced_no_create_more_drill_heads,PASS,client_joined_server,10,,16384x16384x4,9310,10667.4,10525.6,3218.1,6128.0,5394.5,,685.3,390.9,171.3,91.8,56.9,8465.3,51,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/64_reduced_no_create_more_drill_heads/client_join_probe/20260506-124736
reduced_no_ae2_things,PASS,client_joined_server,10,,16384x16384x4,9148,11482.5,11340.7,3218.8,6760.0,4617.0,,685.2,391.0,171.4,91.9,57.0,8864.3,50,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/65_reduced_no_ae2_things/client_join_probe/20260506-125032
reduced_no_ae2_network_analyzer,PASS,client_joined_server,10,,16384x16384x4,9418,11487.3,11345.5,3221.4,6656.0,5533.0,,685.3,391.2,171.5,92.0,57.0,9020.9,49,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/66_reduced_no_ae2_network_analyzer/client_join_probe/20260506-125321
reduced_no_ae_additions,PASS,client_joined_server,10,,16384x16384x4,8899,10435.4,10289.5,3285.2,5520.0,4193.6,,745.4,374.8,170.9,91.9,57.0,9921.3,51,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/67_reduced_no_ae_additions/client_join_probe/20260506-125608
reduced_no_advanced_ae,PASS,client_joined_server,10,,16384x16384x4,8457,10310.8,10163.0,3192.7,5616.0,4053.5,,683.4,375.6,171.2,91.9,56.9,8005.1,50,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/68_reduced_no_advanced_ae/client_join_probe/20260506-125856
reduced_no_extended_ae,PASS,client_joined_server,10,,16384x16384x4,9368,11888.8,11747.1,3193.9,6920.0,4721.5,,683.8,375.6,170.9,91.8,56.9,8971.7,50,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/69_reduced_no_extended_ae/client_join_probe/20260506-130145
reduced_no_mae2,FAIL,client_fatal_log_signature,10,,2048x1024x4,,,,,,,,,,,,,5366.7,,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/70_reduced_no_mae2/client_join_probe/20260506-130435
reduced_no_merequester,PASS,client_joined_server,10,,16384x16384x4,8730,10677.4,10535.6,3290.4,5848.0,5130.4,,746.4,376.5,171.5,92.0,56.9,10198.2,49,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/71_reduced_no_merequester/client_join_probe/20260506-130544
reduced_no_polyeng,PASS,client_joined_server,10,,16384x16384x4,9247,11766.9,11621.1,3186.1,6852.0,4515.0,,684.9,361.9,171.5,92.0,56.9,8951.7,50,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/72_reduced_no_polyeng/client_join_probe/20260506-130829
